variable_name,question,question_type,value,answer_label
user_id,User ID,IHME generated,NA,NA
country,Country name,Text,N/A,N/A
observation_id,Observation ID,IHME generated,N/A,N/A
submitted_time,Date and time survey was submitted,Built-in data,N/A,N/A
gender,What is your gender?,Select one,2,Female
gender,What is your gender?,Select one,1,Male
gender,What is your gender?,Select one,88,Prefer not to respond
gender,What is your gender?,Select one,99,Not available
age,What is your age?,Select one,1,Under 16
age,What is your age?,Select one,2,16 to 25 years old
age,What is your age?,Select one,3,26 to 35 years old
age,What is your age?,Select one,4,36 to 45 years old
age,What is your age?,Select one,5,Over 45 years old
age,What is your age?,Select one,99,Not available
geography,Where do you live?,Select one,1,City center or metropolitan area
geography,Where do you live?,Select one,2,Suburban/Peri-urban
geography,Where do you live?,Select one,3,Rural
geography,Where do you live?,Select one,99,Not available
financial_situation,What is your current financial situation?,Select one,1,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else"
financial_situation,What is your current financial situation?,Select one,2,"I can afford food and regular expenses, but nothing else"
financial_situation,What is your current financial situation?,Select one,3,"I can afford food, but nothing else"
financial_situation,What is your current financial situation?,Select one,4,"I can comfortably afford food, clothes, and furniture, and I have savings"
financial_situation,What is your current financial situation?,Select one,5,I cannot afford enough food for my family
financial_situation,What is your current financial situation?,Select one,99,Not Available
education,What is the highest level of schooling you have completed?,Select one,1,No formal education
education,What is the highest level of schooling you have completed?,Select one,2,Primary school
education,What is the highest level of schooling you have completed?,Select one,3,Secondary/high school
education,What is the highest level of schooling you have completed?,Select one,4,Technical school
education,What is the highest level of schooling you have completed?,Select one,5,College or university
education,What is the highest level of schooling you have completed?,Select one,6,Post graduate
education,What is the highest level of schooling you have completed?,Select one,88,Prefer not to answer
education,What is the highest level of schooling you have completed?,Select one,99,Not Available
employment_status,What is your current employment status?,Select one,1,Employed full-time
employment_status,What is your current employment status?,Select one,2,Employed part-time
employment_status,What is your current employment status?,Select one,3,Self-employed
employment_status,What is your current employment status?,Select one,4,Student and work part-time
employment_status,What is your current employment status?,Select one,5,Student
employment_status,What is your current employment status?,Select one,6,Retired
employment_status,What is your current employment status?,Select one,7,Unemployed
employment_status,What is your current employment status?,Select one,99,Not Available
ethnicity,What is your ethnicity?,Text,N/A,N/A
religion,What is your religion?,Text,N/A,N/A
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,1,1
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,2,2
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,3,3
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,4,4
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,5,5
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,6,6
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,7,7
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,8,8
wmn_hh,"On average, in the last six months, how many members usually live in your household counting yourself?",Select one,9,9
