,value
0,
1,
2,
3,
4,2.0
5,1.0
6,88.0
7,99.0
8,1.0
9,2.0
10,3.0
11,4.0
12,5.0
13,99.0
14,1.0
15,2.0
16,3.0
17,99.0
18,1.0
19,2.0
20,3.0
21,4.0
22,5.0
23,99.0
24,1.0
25,2.0
26,3.0
27,4.0
28,5.0
29,6.0
30,88.0
31,99.0
32,1.0
33,2.0
34,3.0
35,4.0
36,5.0
37,6.0
38,7.0
39,99.0
40,
41,
42,1.0
43,2.0
44,3.0
45,4.0
46,5.0
47,6.0
48,7.0
49,8.0
50,9.0
51,10.0
52,11.0
53,12.0
54,13.0
55,14.0
56,15.0
57,16.0
58,17.0
59,18.0
60,19.0
61,20.0
62,1.0
63,2.0
64,3.0
65,4.0
66,5.0
67,88.0
68,1.0
69,0.0
70,1.0
71,2.0
72,3.0
73,4.0
74,5.0
75,88.0
76,1.0
77,0.0
78,1.0
79,2.0
80,3.0
81,4.0
82,5.0
83,6.0
84,7.0
85,8.0
86,9.0
87,10.0
88,99.0
89,11.0
90,77.0
91,88.0
92,1.0
93,0.0
94,2.0
95,
96,0.0
97,1.0
98,2.0
99,3.0
100,4.0
101,5.0
102,6.0
103,7.0
104,0.0
105,1.0
106,2.0
107,3.0
108,4.0
109,5.0
110,6.0
111,7.0
112,
113,
114,1.0
115,2.0
116,3.0
117,4.0
118,5.0
119,8.0
120,99.0
121,88.0
122,
123,1.0
124,0.0
125,2.0
126,
127,0.0
128,1.0
129,2.0
130,3.0
131,4.0
132,5.0
133,6.0
134,7.0
135,0.0
136,1.0
137,2.0
138,3.0
139,4.0
140,5.0
141,6.0
142,7.0
143,
144,
145,1.0
146,2.0
147,3.0
148,4.0
149,5.0
150,6.0
151,7.0
152,8.0
153,99.0
154,88.0
155,
156,1.0
157,0.0
158,88.0
159,4.0
160,3.0
161,2.0
162,1.0
163,77.0
164,88.0
165,3.0
166,1.0
167,2.0
168,77.0
169,88.0
170,1.0
171,0.0
172,77.0
173,88.0
174,4.0
175,3.0
176,2.0
177,1.0
178,0.0
179,77.0
180,88.0
181,4.0
182,3.0
183,2.0
184,1.0
185,0.0
186,77.0
187,88.0
188,1.0
189,0.0
190,77.0
191,88.0
192,1.0
193,2.0
194,3.0
195,4.0
196,5.0
197,99.0
198,88.0
199,1.0
200,0.0
201,77.0
202,88.0
203,1.0
204,0.0
205,77.0
206,88.0
207,1.0
208,0.0
209,77.0
210,88.0
211,1.0
212,2.0
213,3.0
214,4.0
215,5.0
216,6.0
217,7.0
218,77.0
219,99.0
220,88.0
