,new2
0,User ID
1,Country name
2,Observation ID
3,Date and time survey was submitted
4,What is your gender?
5,What is your gender?
6,What is your gender?
7,What is your gender?
8,What is your age?
9,What is your age?
10,What is your age?
11,What is your age?
12,What is your age?
13,What is your age?
14,Where do you live?
15,Where do you live?
16,Where do you live?
17,Where do you live?
18,What is your current financial situation?
19,What is your current financial situation?
20,What is your current financial situation?
21,What is your current financial situation?
22,What is your current financial situation?
23,What is your current financial situation?
24,What is the highest level of schooling you have completed?
25,What is the highest level of schooling you have completed?
26,What is the highest level of schooling you have completed?
27,What is the highest level of schooling you have completed?
28,What is the highest level of schooling you have completed?
29,What is the highest level of schooling you have completed?
30,What is the highest level of schooling you have completed?
31,What is the highest level of schooling you have completed?
32,What is your current employment status?
33,What is your current employment status?
34,What is your current employment status?
35,What is your current employment status?
36,What is your current employment status?
37,What is your current employment status?
38,What is your current employment status?
39,What is your current employment status?
40,What is your ethnicity?
41,What is your religion?
42,"On average, in the last six months, how many members usually live in your household counting yourself?"
43,"On average, in the last six months, how many members usually live in your household counting yourself?"
44,"On average, in the last six months, how many members usually live in your household counting yourself?"
45,"On average, in the last six months, how many members usually live in your household counting yourself?"
46,"On average, in the last six months, how many members usually live in your household counting yourself?"
47,"On average, in the last six months, how many members usually live in your household counting yourself?"
48,"On average, in the last six months, how many members usually live in your household counting yourself?"
49,"On average, in the last six months, how many members usually live in your household counting yourself?"
50,"On average, in the last six months, how many members usually live in your household counting yourself?"
51,"On average, in the last six months, how many members usually live in your household counting yourself?"
52,"On average, in the last six months, how many members usually live in your household counting yourself?"
53,"On average, in the last six months, how many members usually live in your household counting yourself?"
54,"On average, in the last six months, how many members usually live in your household counting yourself?"
55,"On average, in the last six months, how many members usually live in your household counting yourself?"
56,"On average, in the last six months, how many members usually live in your household counting yourself?"
57,"On average, in the last six months, how many members usually live in your household counting yourself?"
58,"On average, in the last six months, how many members usually live in your household counting yourself?"
59,"On average, in the last six months, how many members usually live in your household counting yourself?"
60,"On average, in the last six months, how many members usually live in your household counting yourself?"
61,"On average, in the last six months, how many members usually live in your household counting yourself?"
62,How long would you like to wait from now before the birth of a/another child?
63,How long would you like to wait from now before the birth of a/another child?
64,How long would you like to wait from now before the birth of a/another child?
